Section,Type,Name,URL,Content
Main Content,Paragraph,Paragraph,,"The Government has accepted the overwhelming majority of the Final Report’s recommendations and will address the issues identified by the Royal Commission through a wide-ranging and substantial program of reform. As detailed in the Response, the Government has agreed or agreed in principle to 104 out of the 122 recommendations and noted 17 further recommendations."
Main Content,Paragraph,Paragraph,,"DVA, working in partnership with Defence, will make every effort to address suicide and suicidality among our serving and ex-serving ADF personnel."
Main Content,Paragraph,Paragraph,,Find out more about DVA’s work in response to the Royal Commission through the links below.
Main Content,Paragraph,Paragraph,,We are simplifying legislation so it is easier to navigate
Main Content,Paragraph,Paragraph,,We are eliminating the backlog and making it simpler for veterans to lodge and track their claims
Main Content,Paragraph,Paragraph,,Read Royal Commission reports and keep track of our progress
Main Content,Paragraph,Paragraph,,How to access your personal information
Main Content,Paragraph,Paragraph,,We have a established a taskforce to focus on the delivery of several recommendations from the Royal Commission
Main Content,Paragraph,Paragraph,,
Main Content,Paragraph,Paragraph,,"These services are confidential and available 24 hours a day. 
  If life is in danger, call000."
Main Content,Paragraph,Paragraph,,Free counselling and group treatment programs.1800 011 046
Main Content,Paragraph,Paragraph,,Helps ADF personnel and their families access mental health services.1800 628 036
Main Content,Paragraph,Paragraph,,Crisis support and suicide prevention help.13 11 14
Main Content,Paragraph,Paragraph,,"Help for people impacted by sexual assault, domestic or family violence and abuse.1800 737 732"
Main Content,Heading,Using this website,,
Main Content,Link,Accessing Information,/about/accessing-information,
Main Content,Link,Copyright,/about/website/copyright,
Main Content,Link,Disclaimer,/about/website/disclaimer,
Main Content,Link,Privacy,/about/website/website-privacy-statement,
Main Content,Link,Social Media Acceptable Use Policy,/social-media-acceptable-use-policy,
Main Content,Heading,Quick links,,
Main Content,Link,Advocacy Training & Development Program,https://web.atdp.org.au/,
Main Content,Link,CLIK,https://clik.dva.gov.au,
Main Content,Link,Forms,/get-support/find-forms,
Main Content,Link,Inspector-General ADF Afghanistan Inquiry,/inspector-general-adf-afghanistan-inquiry,
Main Content,Link,Minister's website,http://minister.dva.gov.au,
Main Content,Link,Old factsheets,/about/publications/what-happened-factsheets,
Main Content,Link,Smartraveller,http://www.smartraveller.gov.au/,
Main Content,Heading,About us,,
Main Content,Link,About DVA,/about,
Main Content,Link,Acknowledgement of Country,/acknowledgment-country,
Main Content,Link,Artificial Intelligence (AI) Transparency Statement,/about/accessing-information/what-can-i-access/corporate-information-access/artificial-intelligence-ai-transparency-statement,
Main Content,Link,Documents and publications,/about/publications,
Main Content,Link,Glossary and acronyms,/about/overview/glossary-and-acronyms,
Main Content,Link,Location finder,/location-finder,
Main Content,Link,Reviews and reports,/about/accessing-information/what-can-i-access/corporate-information-access/reporting/reviews,
Main Content,Link,Transforming DVA,/about/overview/transforming-dva,
Main Content,Heading,Connect with us,,
Main Content,Link,Contact us,/node/11677,
Main Content,Link,Media,/node/15730,
Main Content,Link,News,/node/20624,
Main Content,Link,,https://www.facebook.com/DVAAus/,
Main Content,Link,,https://twitter.com/DVAAus,
Main Content,Link,,https://www.youtube.com/DVATVAus,
Main Content,Link,,https://au.linkedin.com/company/australian-government-department-of-veterans'-affairs,
Main Content,Paragraph,Paragraph,,Contact us
Main Content,Paragraph,Paragraph,,Media
Main Content,Paragraph,Paragraph,,News
Main Content,Paragraph,Paragraph,,
Main Content,Heading,logins,,
Main Content,Heading,need_urgent_help,,
Main Content,Link,1800 VETERAN (1800 838 372),tel:1800-838-372,
Main Content,Link,MyService,/about-myservice,
Main Content,Link,Providers and ESOs,https://connect.dva.gov.au,
Main Content,Link,Open Arms,https://www.openarms.gov.au/,
Main Content,Link,ADF Support Line,https://www1.defence.gov.au/adf-members-families/health-well-being/services-support-fighting-fit/need-help-now/all-hours-support-line,
Main Content,Link,Lifeline,https://www.lifeline.org.au/,
Main Content,Link,1800RESPECT,https://www.1800respect.org.au/,
Main Content,Paragraph,Paragraph,,"The Department of Veterans' Affairs acknowledges the Traditional Custodians of Country throughout Australia. We pay our respects to Elders past and present. We recognise and celebrate Aboriginal and Torres Strait Islander people as the First Peoples of Australia and their continuing spiritual and cultural connection to land, sea and community."
Main Content,Paragraph,Paragraph,,"To speak with someone at DVA, call1800 VETERAN (1800 838 372)"
Main Content,Paragraph,Paragraph,,© Commonwealth of Australia
Main Content,Paragraph,Paragraph,,"Authorised by the Australian Government, Canberra."
Main Content,Image,Home,/themes/custom/dva_theme/images/agency-logo.svg,
Main Content,Image,,/themes/custom/dva_theme/images/icon-printer.svg,
Main Content,Image,Publication cover for the Royal Commission into Defence and Veteran Suicide Final Report,/sites/default/files/2024-12/rc-response-cover-2.JPG,
Main Content,Image,No Alt Text,https://www.dva.gov.au/akam/13/pixel_541d3ab6?a=dD03YTUxYmFlYzU0ODgzZTg0YzBhNmIzNDYzMTAyYTQ4ZjFhYzkxNmRmJmpzPW9mZg==,
